回數,名次,角色,點數,第一推,評論,支援作品,上回排名,前前回排名
17,1,魂魄 妖夢,12951,3253,2288,31,1,3
17,2,霧雨 魔理沙,11816,2216,2131,26,4,2
17,3,博麗 霊夢,11404,2124,1933,36,2,1
17,4,古明地 こいし,10683,1970,1828,44,3,4
17,5,フランドール・スカーレット,10335,2049,1975,16,5,6
17,6,十六夜 咲夜,10015,1786,1710,21,7,7
17,7,レミリア・スカーレット,9482,1713,1635,19,6,5
17,8,藤原 妹紅,6589,1150,1075,7,9,11
17,9,古明地 さとり,6305,837,1001,10,8,8
17,10,西行寺 幽々子,5955,871,933,8,13,15
17,11,射命丸 文,5799,861,876,15,10,9
17,12,アリス・マーガトロイド,5608,904,853,12,11,10
17,13,東風谷 早苗,5261,801,778,9,12,13
17,14,鈴仙・優曇華院・イナバ,5249,667,804,11,14,16
17,15,比那名居 天子,4679,638,675,5,16,14
17,16,八雲 紫,4571,574,731,6,15,12
17,17,秦 こころ,4363,566,737,3,17,17
17,18,チルノ,4226,661,852,15,24,24
17,19,パチュリー・ノーレッジ,4128,560,593,5,18,20
17,20,多々良 小傘,3818,544,694,7,20,19
17,21,ルーミア,3726,530,798,13,23,25
17,22,洩矢 諏訪子,3609,561,602,4,21,29
17,23,四季映姫・ヤマザナドゥ,3535,472,565,6,19,23
17,24,風見 幽香,3339,457,480,12,28,27
17,25,紅 美鈴,3242,449,570,8,25,22
17,26,豊聡耳 神子,3181,524,547,11,29,40
17,27,犬走 椛,3149,471,579,9,22,21
17,28,純狐,3048,394,511,8,26,28
17,29,鬼人 正邪,2928,485,546,14,32,31
17,30,依神紫苑,2791,278,461,6,30,18
17,31,伊吹 萃香,2684,285,410,4,31,43
17,32,物部 布都,2583,364,470,3,39,41
17,33,稀神 サグメ,2543,298,432,0,40,30
17,34,ヘカーティア・ラピスラズリ,2467,250,478,5,42,34
17,35,蓬莱山 輝夜,2421,264,381,2,41,35
17,36,河城 にとり,2371,331,387,5,33,37
17,37,八雲 藍,2314,284,356,7,37,39
17,38,宇佐見 蓮子,2290,257,348,7,27,26
17,39,霊烏路 空,2276,352,372,7,38,32
17,40,茨木 華扇,2190,228,348,5,35,49
17,41,水橋 パルスィ,2184,339,403,7,34,33
17,42,摩多羅隠岐奈,1968,227,356,1,43,48
17,43,封獣 ぬえ,1967,196,330,5,45,42
17,44,天弓 千亦,1834,129,389,6,,
17,45,鍵山 雛,1825,256,310,9,50,51
17,46,埴安神 袿姫,1809,193,330,10,36,
17,47,聖 白蓮,1805,167,282,4,44,45
17,48,八意 永琳,1724,147,314,5,58,58
17,49,火焔猫 燐,1700,186,295,10,47,50
17,50,ドレミー・スイート,1649,176,279,1,51,38
17,51,村紗 水蜜,1613,201,290,5,70,69
17,52,クラウンピース,1609,119,265,1,48,44
17,53,上白沢 慧音,1555,140,247,2,57,54
17,54,マエリベリー・ハーン,1423,103,233,9,49,46
17,55,菅牧 典,1409,58,294,1,,
17,56,宇佐見 菫子,1385,127,218,4,62,52
17,57,飯綱丸 龍,1370,60,288,7,,
17,58,吉弔 八千慧,1364,112,241,9,46,
17,59,霍 青娥,1326,129,232,7,59,61
17,60,大妖精,1273,115,220,12,54,56
17,61,橙,1264,142,234,9,61,63
17,62,姫虫 百々世,1246,79,272,4,,
17,63,ナズーリン,1207,165,187,3,53,53
