回數,名次,角色,點數,第一推,評論,支援作品,上回排名,前前回排名
21,1,古明地 こいし,27688,5133,4238,28,4,4
21,2,霧雨 魔理沙,27553,3777,4842,28,2,1
21,3,博麗 霊夢,27408,3618,4196,40,1,2
21,4,フランドール・スカーレット,23917,3726,4400,23,3,3
21,5,十六夜 咲夜,19804,2518,3620,14,6,6
21,6,レミリア・スカーレット,19638,2366,3669,19,7,7
21,7,魂魄 妖夢,18435,2933,3156,17,5,5
21,8,古明地 さとり,13504,1399,2215,7,8,9
21,9,藤原 妹紅,12665,1755,2254,7,9,8
21,10,チルノ,12447,1575,2744,8,10,15
21,11,射命丸 文,10133,1116,1633,9,13,13
21,12,西行寺 幽々子,9612,1022,1586,5,11,10
21,13,東風谷 早苗,9426,1082,1419,13,14,12
21,14,アリス・マーガトロイド,9331,972,1405,18,12,11
21,15,鈴仙・優曇華院・イナバ,8609,896,1383,1,15,14
21,16,八雲 紫,7376,699,1178,5,16,16
21,17,紅 美鈴,7315,712,1437,4,18,23
21,18,パチュリー・ノーレッジ,7216,702,1180,6,17,18
21,19,ルーミア,7062,727,1536,16,21,19
21,20,秦 こころ,6729,791,1188,6,19,21
21,21,比那名居 天子,6672,829,934,6,20,17
21,22,多々良 小傘,6249,627,1093,12,23,22
21,23,洩矢 諏訪子,5943,665,1024,2,22,20
21,24,四季映姫・ヤマザナドゥ,5524,536,942,3,25,25
21,25,蓬莱山 輝夜,5022,431,830,0,30,34
21,26,純狐,4972,479,845,4,26,28
21,27,風見 幽香,4959,518,784,8,24,26
21,28,八意 永琳,4889,428,1198,5,37,53
21,29,伊吹 萃香,4733,441,781,7,27,30
21,30,犬走 椛,4621,534,812,11,28,27
21,31,八雲 藍,4325,416,747,4,29,24
21,32,霊烏路 空,4315,479,787,2,31,33
21,33,ヘカーティア・ラピスラズリ,4069,326,829,6,38,38
21,34,依神紫苑,4065,420,687,7,32,32
21,35,鬼人 正邪,4035,546,686,9,35,35
21,36,豊聡耳 神子,3952,444,659,6,33,31
21,37,水橋 パルスィ,3825,362,707,2,36,37
21,38,宇佐見 蓮子,3690,323,550,15,34,41
21,39,鍵山 雛,3647,436,627,4,43,45
21,40,物部 布都,3571,365,665,13,40,39
21,41,稀神 サグメ,3561,324,599,11,44,36
21,42,飯綱丸 龍,3482,394,691,4,55,66
21,43,摩多羅隠岐奈,3430,356,630,2,45,44
21,44,河城 にとり,3262,333,572,3,41,40
21,45,茨木 華扇,3027,262,514,4,46,43
21,46,火焔猫 燐,2952,216,525,4,47,42
21,47,ミスティア・ローレライ,2906,268,486,7,52,63
21,48,饕餮 尤魔,2886,237,539,7,42,29
21,49,魅魔,2860,170,668,4,56,70
21,50,聖 白蓮,2733,204,478,2,49,48
21,51,橙,2726,198,583,4,51,50
21,52,上白沢 慧音,2688,187,509,1,50,55
21,53,大妖精,2633,126,523,1,63,61
21,54,封獣 ぬえ,2581,222,448,7,53,51
21,55,マエリベリー・ハーン,2511,128,406,12,48,54
21,56,天弓 千亦,2468,209,488,3,59,64
21,57,小悪魔,2289,130,439,1,57,57
21,58,ナズーリン,2156,215,371,5,54,48
21,59,ドレミー・スイート,2094,194,382,3,58,56
21,60,道神 馴子,2076,83,475,10,,
21,61,神綺,2055,109,451,4,67,94
21,62,埴安神 袿姫,1916,177,323,7,66,58
21,63,リグル・ナイトバグ,1906,227,390,6,71,87
21,64,因幡 てゐ,1871,120,338,1,69,67
21,65,赤蛮奇,1860,183,324,1,64,64
21,66,菅牧 典,1848,116,357,1,61,47
21,67,村紗 水蜜,1832,196,302,3,65,59
21,68,霍 青娥,1820,123,306,3,62,60
21,69,八坂 神奈子,1734,130,353,0,74,76
21,70,クラウンピース,1724,117,311,4,60,62
21,71,リリーホワイト,1692,139,307,3,79,90
21,72,本居 小鈴,1657,100,276,3,72,72
21,73,綿月 豊姫,1629,135,373,5,119,115
21,74,依神女苑,1575,124,268,3,68,76
21,75,小野塚 小町,1555,91,306,4,76,88
21,76,永江 衣玖,1554,124,261,3,75,73
21,77,姫海棠 はたて,1527,104,260,7,78,84
21,78,二ッ岩 マミゾウ,1513,136,285,0,73,75
21,79,稗田 阿求,1499,119,239,3,39,86
21,80,幻月,1481,90,313,7,102,118
21,81,吉弔 八千慧,1478,90,278,3,70,46
21,82,森近 霖之助,1436,139,307,2,77,83
21,83,今泉 影狼,1394,113,277,4,84,69
21,84,星熊 勇儀,1360,106,286,1,80,82
21,85,宇佐見 菫子,1346,115,214,1,82,80
21,86,庭渡 久侘歌,1324,96,223,5,83,79
21,87,少名 針妙丸,1287,118,222,3,89,91
21,88,蘇我 屠自古,1285,106,243,7,86,85
21,89,奥野田 美宵,1229,39,274,3,88,92
21,90,岡崎 夢美,1221,101,250,3,94,103
21,91,宮出口瑞霊,1207,91,284,138,118,136
21,92,堀川 雷鼓,1199,104,226,2,95,99
21,93,メディスン・メランコリー,1132,99,212,3,93,96
21,94,綿月 依姫,1128,83,213,1,96,97
21,95,高麗野あうん,1104,69,233,4,85,93
21,96,豫母都 日狭美,1096,55,221,2,81,52
21,97,ルナチャイルド,1046,59,189,4,103,111
21,98,宮古 芳香,1039,92,234,2,92,97
21,99,わかさぎ姫,1032,76,225,0,104,105
21,100,レティ・ホワイトロック,983,94,212,1,91,106
21,101,妖精（メイド妖精・ひまわり妖精 他）,971,186,187,9,171,166
21,102,姫虫 百々世,970,80,193,4,98,101
21,103,ルナサ・プリズムリバー,969,85,152,3,90,89
21,103,日白 残無,969,54,176,2,87,68
21,105,先代巫女,945,40,227,139,,
21,106,秋 穣子,944,43,179,6,99,100
21,107,秋 静葉,937,75,172,4,101,95
21,108,夢月,912,19,235,5,120,134
21,109,寅丸 星,879,76,160,0,105,104
21,110,幽谷 響子,864,66,177,3,112,110
21,111,天火人 ちやり,858,43,189,5,97,74
21,112,驪駒 早鬼,849,53,193,1,100,81
21,113,黒谷 ヤマメ,822,59,162,0,108,112
21,114,スターサファイア,816,58,138,2,106,108
21,115,蓬莱人形ジャケットイラストの娘,772,71,170,2,114,125
21,116,サニーミルク,753,45,139,1,113,121
21,117,清蘭,706,42,135,1,107,102
21,118,雲居 一輪,704,57,150,1,123,124
21,119,C62サークルカットの娘,695,68,150,0,126,
21,120,杖刀偶 磨弓,671,53,126,5,109,107
21,121,豪徳寺 ミケ,660,45,139,1,124,116
21,122,カナ・アナベラル,648,36,163,9,130,130
21,123,丁礼田舞,647,47,135,1,115,114
21,124,九十九 弁々,642,42,136,3,127,123
21,125,メルラン・プリズムリバー,634,45,126,2,116,113
21,126,アリスの人形（上海、蓬莱、大江戸 他）,591,12,135,0,117,117
21,127,エタニティラルバ,586,43,124,0,122,128
21,128,三頭 慧ノ子,561,18,133,1,111,71
21,129,爾子田里乃,534,25,100,1,129,126
21,130,くるみ,520,30,131,3,146,140
21,131,影華扇（断善修悪の怪腕 - 茨木童子の腕）,518,21,131,2,139,151
21,132,リリカ・プリズムリバー,513,36,99,1,125,119
21,133,封獣 チミ,511,21,166,6,,
21,134,名無しの本読み妖怪,503,46,113,1,128,122
21,135,夢子,482,19,110,4,135,133
21,136,孫 美天,461,14,113,2,110,78
21,137,鈴瑚,442,29,93,0,132,129
21,138,レイセン,424,25,90,2,131,127
21,139,北白河 ちゆり,418,12,97,1,145,142
21,140,易者,415,16,107,1,121,119
21,141,坂田ネムノ,405,18,125,5,153,148
21,142,サリエル,403,26,90,0,133,132
21,143,矢田寺成美,380,20,82,2,134,131
21,144,九十九 八橋,379,40,82,3,136,135
21,145,戎 瓔花,362,31,68,0,139,143
21,146,山城 たかね,361,31,65,1,137,139
21,147,エレン,350,19,94,2,150,146
21,148,玉造 魅須丸,329,22,78,1,143,140
21,149,エリー,326,17,75,2,144,154
21,150,エリス,318,12,84,4,157,145
21,151,キスメ,313,15,65,1,138,137
21,152,駒草 山如,278,16,72,1,141,109
21,153,マイ,277,15,68,2,147,157
21,154,コンガラ,272,15,68,0,155,150
21,155,魂魄 妖忌,264,7,79,0,148,143
21,156,ユキ,256,17,57,3,156,162
21,157,るーこと,248,8,72,0,164,161
21,158,蓬莱人形レーベルイラストの娘,241,5,55,0,149,158
21,159,牛崎 潤美,240,17,56,4,152,147
21,160,小兎姫,224,15,62,0,154,149
21,161,オレンジ,222,9,63,0,173,178
21,162,明羅,217,18,55,0,142,155
21,163,塵塚 ウバメ,200,6,53,6,,
21,164,里香,192,15,56,0,161,163
21,165,朝倉 理香子,178,11,48,0,168,164
21,166,抗鬱薬おじさん,172,7,45,0,151,137
21,167,ユウゲンマガン,170,8,51,2,165,170
21,168,雲山,166,9,49,0,158,156
21,169,玄爺,162,8,46,0,166,167
21,170,シンギョク,154,16,34,2,170,174
21,171,レイラ・プリズムリバー,144,5,37,1,160,160
21,171,UFO（赤・青・緑、その他）,144,5,50,0,167,165
21,173,毛玉,127,7,33,0,159,152
21,174,大ナマズ,119,2,34,0,162,159
21,174,カワウソ霊,119,2,36,0,163,153
21,176,ルイズ,108,8,27,1,169,168
21,177,旧作名無し中ボス,89,4,20,0,182,173
21,178,サラ,87,3,23,0,181,170
21,179,ツチノコ,85,4,20,0,177,177
21,180,核熱造神ヒソウテンソク,79,4,30,0,172,168
21,181,キクリ,77,4,21,1,184,183
21,182,鯢呑亭の常連,74,2,33,0,180,181
21,183,ミミちゃん,73,4,18,0,175,172
21,184,兎（玉兎、永遠亭の妖怪兎 他）,72,1,12,0,183,187
21,185,カラス（地獄鴉、紫・文の使い魔 他）,69,1,11,0,173,175
21,186,嫦娥,65,4,19,0,176,179
21,187,なめえもん,62,3,14,0,179,180
21,188,チュパカブラ,60,2,15,0,177,176
21,189,華扇の動物（久米、竿打、雷獣、彭祖、人面犬 他）,55,1,12,0,188,182
21,190,岩笠,53,3,16,0,195,201
21,191,狐（妖怪狐、狐の子他）,48,2,13,0,185,188
21,192,ホフゴブリン,44,1,11,0,192,190
21,192,里の人間（文花帖、求聞史紀、鈴奈庵などで登場した人間）,44,3,15,0,194,189
21,194,オオカミ霊,43,0,12,0,190,183
21,195,龍（子龍、邪龍 他）,38,1,6,0,189,191
21,196,河童（山童含む）,36,0,15,0,186,185
21,197,万歳楽,35,1,7,0,197,195
21,198,天狗（香霖堂の天狗、大天狗 他）,30,1,5,0,187,206
21,199,命蓮,29,0,9,0,196,198
21,200,ケセランパサラン,28,0,8,0,197,201
21,201,都市伝説の怪異（お菊さん、八尺さま 他）,27,0,7,0,203,194
21,202,仙台四郎（福の神）,26,1,8,0,209,207
21,202,神降ろしの神霊（天照、伊豆能売 他）,26,2,3,0,193,204
21,204,幽霊（怨霊、神霊、化け化け含む）,23,1,10,0,199,193
21,205,オオワシ霊,22,2,8,0,190,185
21,205,鯢呑亭の店主,22,1,3,0,205,197
21,207,木花咲耶姫,20,0,2,0,202,196
21,207,塩屋敷の旦那,20,2,8,0,216,205
21,209,毘沙門天,19,1,3,0,211,212
21,209,酒虫,19,0,6,0,206,198
21,209,月の都の門番,19,2,6,0,208,207
21,212,ライカ,18,1,5,0,199,191
21,213,水江浦島子,17,1,5,0,199,216
21,214,ウワバミ,16,1,7,0,211,201
21,215,沓頬,14,1,5,0,217,214
21,216,狸（化け狸、野鉄砲他）,13,0,2,0,214,207
21,217,座敷童,11,1,5,0,203,207
21,218,運松,10,0,4,0,210,211
21,218,ヤマネ,10,1,2,0,211,212
21,218,小鈴の両親,10,0,2,0,206,198
21,221,煙々羅,3,0,0,0,215,214
17,1,魂魄 妖夢,12951,3253,2288,31,1.0,3.0
17,2,霧雨 魔理沙,11816,2216,2131,26,4.0,2.0
17,3,博麗 霊夢,11404,2124,1933,36,2.0,1.0
